Taille de base;Taille compressé; Gain de taille 
10;10,4;-0,40000000000000036
20;21,48;-1,4800000000000004
30;32,34;-2,3400000000000034
40;43,54;-3,539999999999999
50;54,42;-4,420000000000002
60;65,38;-5,3799999999999955
70;76,3;-6,299999999999997
80;86,6;-6,599999999999994
90;96,86;-6,859999999999999
100;107,54;-7,540000000000006
110;118,38;-8,379999999999995
120;127,68;-7,680000000000007
130;139,1;-9,099999999999994
140;149,7;-9,699999999999989
150;158,64;-8,639999999999986
160;169,6;-9,599999999999994
170;178,86;-8,860000000000014
180;187,96;-7,960000000000008
190;196,66;-6,659999999999997
200;206,22;-6,219999999999999
210;216,14;-6,139999999999986
220;225,3;-5,300000000000011
230;232,64;-2,6399999999999864
240;241,06;-1,0600000000000023
250;250,7;-0,6999999999999886
260;259,0;1,0
270;267,78;2,2200000000000273
280;277,22;2,7799999999999727
290;286,0;4,0
300;293,0;7,0
310;303,42;6,579999999999984
320;310,2;9,800000000000011
330;318,96;11,04000000000002
340;326,5;13,5
350;334,58;15,420000000000016
360;343,84;16,160000000000025
370;351,0;19,0
380;360,42;19,579999999999984
390;369,4;20,600000000000023
