Taille de base;Taille compressé;Gain de taille;Temps de compression 
10;10,44;-0,4399999999999995;0,00045005100000000686
20;21,34;-1,3399999999999999;0,000282257000000008
30;32,54;-2,539999999999999;0,0007618470000000099
40;43,48;-3,479999999999997;0,0010863589999999812
50;54,3;-4,299999999999997;0,0018477960000000127
60;65,58;-5,579999999999998;0,00231384699999998
70;75,9;-5,900000000000006;0,008004926000000023
80;86,92;-6,920000000000002;0,005433437999999957
90;97,1;-7,099999999999994;0,00815466999999992
100;107,48;-7,480000000000004;0,013217647000000055
110;117,0;-7,0;0,011432210000000165
120;127,58;-7,579999999999998;0,019519598000000027
130;138,2;-8,199999999999989;0,02429129200000002
140;148,18;-8,180000000000007;0,0292233959999999
150;159,46;-9,460000000000008;0,03096329500000028
160;168,92;-8,919999999999987;0,03125457700000034
170;179,9;-9,900000000000006;0,03727468099999953
180;188,4;-8,400000000000006;0,048987916999999825
190;197,0;-7,0;0,058555510999998006
200;206,56;-6,560000000000002;0,06420310300000054
210;216,12;-6,1200000000000045;0,07219695299999884
220;224,32;-4,319999999999993;0,07169561899999977
