Taille de base;Taille compressé;Gain de taille;Temps de compression;Coefficient de compression 
10;11,05;-1,05;0,00020841;-0,105
35;39;-4;0,001174605;-0,114285714
60;63,25;-3,25;0,003495815;-0,054166667
85;85,9;-0,9;0,005758544;-0,010588235
110;107,3;2,7;0,010233415;0,024545455
135;127,55;7,45;0,017621477;0,055185185
160;146,3;13,7;0,027974318;0,085625
185;165,7;19,3;0,036615282;0,104324324
210;182,75;27,25;0,046924636;0,129761905
235;199,8;35,2;0,058229887;0,149787234
260;217,2;42,8;0,072441559;0,164615385
285;237,45;47,55;0,089730749;0,166842105
310;253,35;56,65;0,108742708;0,182741935
335;270,4;64,6;0,127216923;0,192835821
360;285,4;74,6;0,146995856;0,207222222
385;303,1;81,9;0,177084944;0,212727273
410;317,55;92,45;0,200641846;0,225487805
435;333,6;101,4;0,252173272;0,233103448
460;350,55;109,45;0,252662236;0,237934783
485;365,95;119,05;0,281785887;0,245463918
510;380,6;129,4;0,305903405;0,25372549
535;397,4;137,6;0,369153744;0,257196262
560;412;148;0,391714892;0,264285714
585;428,35;156,65;0,443115692;0,267777778
610;439,45;170,55;0,533620841;0,279590164
635;456,2;178,8;0,579580903;0,281574803
660;471,6;188,4;0,617763959;0,285454545
685;485,35;199,65;0,666617559;0,291459854
710;502,55;207,45;0,772013416;0,292183099
735;516,4;218,6;0,898168964;0,297414966
760;527,95;232,05;0,863163159;0,305328947
785;543,85;241,15;0,970106379;0,307197452
810;558,4;251,6;1,025705764;0,310617284
835;572,15;262,85;0,983861621;0,314790419
860;585,25;274,75;1,098160595;0,319476744
885;601,3;283,7;1,254296533;0,320564972
910;614,5;295,5;1,347800246;0,324725275
935;628,4;306,6;1,425013703;0,327914439
960;641,7;318,3;1,483706462;0,3315625
985;655;330;1,5624904;0,335025381
1010;670,9;339,1;1,774126421;0,335742574
1035;684,65;350,35;1,826997538;0,338502415
1060;696;364;2,013185087;0,343396226
1085;712,2;372,8;2,109247693;0,34359447
1110;723,75;386,25;2,265760616;0,347972973
1135;737;398;2,604697846;0,350660793
1160;749,1;410,9;2,799512533;0,354224138
1185;760,65;424,35;2,768611836;0,358101266
1210;778,6;431,4;3,190141887;0,356528926
1235;789,8;445,2;3,771047569;0,36048583
1260;803,55;456,45;4,178011692;0,362261905
1285;816,95;468,05;4,22873602;0,364241245
1310;829,35;480,65;4,522196964;0,366908397
1335;841,9;493,1;4,861683282;0,369363296
1360;854,5;505,5;4,827676636;0,371691176
1385;866,4;518,6;5,041471815;0,374440433
1410;883,8;526,2;5,560611118;0,373191489
1435;894,35;540,65;5,267511938;0,376759582
1460;910,75;549,25;5,574211426;0,37619863
1485;917,8;567,2;5,678315795;0,381952862
